record_type,raw_or_alias_code,canonical_code,fund_segment,program_segment,event_segment,disaster_number,sub_program_id,sub_program_name,program_id,program_name,rule_id,scenario_tags,note,data_watermark
code_mapping,,PA-97036-4332,PA,97036,4332,4332,SUB-PA-4332,DR-4332 — Hurricane Harvey (TX),PROG-PA,Public Assistance,BR-007,trigger_up_1; subgrouped_by_disaster_number (REQ-005/taxonomy); multi_event_split,,SYNTHETIC-DEMO
code_mapping,,PA-60101-4332,PA,60101,4332,4332,SUB-PA-4332,DR-4332 — Hurricane Harvey (TX),PROG-PA,Public Assistance,BR-007,trigger_up_1; subgrouped_by_disaster_number (REQ-005/taxonomy); multi_event_split,,SYNTHETIC-DEMO
code_mapping,,PA-60102-4332,PA,60102,4332,4332,SUB-PA-4332,DR-4332 — Hurricane Harvey (TX),PROG-PA,Public Assistance,BR-007,trigger_up_1; subgrouped_by_disaster_number (REQ-005/taxonomy); multi_event_split,,SYNTHETIC-DEMO
code_mapping,,PA-60103-4332,PA,60103,4332,4332,SUB-PA-4332,DR-4332 — Hurricane Harvey (TX),PROG-PA,Public Assistance,BR-007,trigger_up_1; subgrouped_by_disaster_number (REQ-005/taxonomy); multi_event_split,,SYNTHETIC-DEMO
code_mapping,,PA-97036-4337,PA,97036,4337,4337,SUB-PA-4337,DR-4337 — Hurricane Irma (FL),PROG-PA,Public Assistance,BR-008,trigger_up_1; subgrouped_by_disaster_number (REQ-005/taxonomy); multi_event_split,,SYNTHETIC-DEMO
code_mapping,,PA-60101-4337,PA,60101,4337,4337,SUB-PA-4337,DR-4337 — Hurricane Irma (FL),PROG-PA,Public Assistance,BR-008,trigger_up_1; subgrouped_by_disaster_number (REQ-005/taxonomy); multi_event_split,,SYNTHETIC-DEMO
code_mapping,,PA-60102-4337,PA,60102,4337,4337,SUB-PA-4337,DR-4337 — Hurricane Irma (FL),PROG-PA,Public Assistance,BR-008,trigger_up_1; subgrouped_by_disaster_number (REQ-005/taxonomy); multi_event_split,,SYNTHETIC-DEMO
code_mapping,,PA-60103-4337,PA,60103,4337,4337,SUB-PA-4337,DR-4337 — Hurricane Irma (FL),PROG-PA,Public Assistance,BR-008,trigger_up_1; subgrouped_by_disaster_number (REQ-005/taxonomy); multi_event_split,,SYNTHETIC-DEMO
code_mapping,,PA-97036-4338,PA,97036,4338,4338,SUB-PA-4338,DR-4338 — Hurricane Irma (GA),PROG-PA,Public Assistance,BR-009,trigger_up_1; subgrouped_by_disaster_number (REQ-005/taxonomy); multi_event_split,,SYNTHETIC-DEMO
code_mapping,,PA-60101-4338,PA,60101,4338,4338,SUB-PA-4338,DR-4338 — Hurricane Irma (GA),PROG-PA,Public Assistance,BR-009,trigger_up_1; subgrouped_by_disaster_number (REQ-005/taxonomy); multi_event_split,,SYNTHETIC-DEMO
code_mapping,,PA-60102-4338,PA,60102,4338,4338,SUB-PA-4338,DR-4338 — Hurricane Irma (GA),PROG-PA,Public Assistance,BR-009,trigger_up_1; subgrouped_by_disaster_number (REQ-005/taxonomy); multi_event_split,,SYNTHETIC-DEMO
code_mapping,,PA-60103-4338,PA,60103,4338,4338,SUB-PA-4338,DR-4338 — Hurricane Irma (GA),PROG-PA,Public Assistance,BR-009,trigger_up_1; subgrouped_by_disaster_number (REQ-005/taxonomy); multi_event_split,,SYNTHETIC-DEMO
